OG1	OG2	direction	pvalue	qvalue	signif
OG0000372	OG0000461	39	2.7534523754012632e-50	1.8616223310414912e-45	TRUE
OG0000290	OG0000323	35	3.259139730226433e-50	2.162524251814013e-45	TRUE
OG0000710	OG0000798	49	3.227302704738633e-50	2.162524251814013e-45	TRUE
OG0000612	OG0000495	41	3.25109652495174e-50	2.162524251814013e-45	TRUE
OG0000495	OG0000611	41	3.25109652495174e-50	2.162524251814013e-45	TRUE
OG0000339	OG0000236	34	7.901976089365531e-50	5.2188933989540634e-45	TRUE
OG0001479	OG0001486	37	8.353055931008329e-50	5.491387888672528e-45	TRUE
OG0000364	OG0000347	37	8.873157246743905e-50	5.806549736482978e-45	TRUE
OG0000613	OG0000890	48	1.0833001626424674e-49	7.056691952751918e-45	TRUE
OG0001146	OG0001088	58	1.1155071752959358e-49	7.23346115087077e-45	TRUE
OG0001233	OG0001386	55	1.237665776122737e-49	7.989278752640399e-45	TRUE
OG0000943	OG0000849	67	1.4253630153427266e-49	9.159441163634882e-45	TRUE
OG0001224	OG0001200	36	1.4495112702265619e-49	9.272849248171328e-45	TRUE
OG0000544	OG0000650	43	1.4724209346164313e-49	9.33567945141394e-45	TRUE
OG0000633	OG0000411	43	1.4724209346164313e-49	9.33567945141394e-45	TRUE
OG0000667	OG0000599	47	1.5828443649953328e-49	9.991397590017008e-45	TRUE
OG0000575	OG0000586	42	1.7573129673446647e-49	1.104037827525896e-44	TRUE
OG0001375	OG0001407	49	1.7645027308710614e-49	1.104037827525896e-44	TRUE
OG0001146	OG0001154	60	1.8605503795988963e-49	1.1540113074493958e-44	TRUE
OG0001154	OG0001164	60	1.8605503795988963e-49	1.1540113074493958e-44	TRUE
OG0000494	OG0000559	40	2.202454110133264e-49	1.360164245512309e-44	TRUE
OG0000910	OG0000811	61	2.2557103717952836e-49	1.3870490446022088e-44	TRUE
OG0000440	OG0000523	40	2.580405196481155e-49	1.5798958298891854e-44	TRUE
OG0000583	OG0000442	42	2.6508368421897298e-49	1.6160827941245946e-44	TRUE
OG0000355	OG0000356	36	3.3391346819360395e-49	2.027041033023177e-44	TRUE
OG0000570	OG0000701	46	3.6923974798381846e-49	2.2319934145867733e-44	TRUE
OG0001066	OG0001044	51	3.9565270770390145e-49	2.381564029427048e-44	TRUE
OG0000916	OG0001071	45	4.059305800963461e-49	2.4331634179726197e-44	TRUE
OG0001391	OG0001385	34	4.216260949627437e-49	2.5166686959860056e-44	TRUE
OG0000788	OG0000801	54	4.586923407060858e-49	2.726507599858594e-44	TRUE
OG0000489	OG0000608	41	4.68399348862769e-49	2.7726541839831236e-44	TRUE
OG0001264	OG0001227	53	5.443604972051753e-49	3.2089851111549827e-44	TRUE
OG0000583	OG0000782	49	5.5810466266039094e-49	3.2764673398073637e-44	TRUE
OG0000873	OG0000845	52	6.327552103877939e-49	3.6994943609252065e-44	TRUE
OG0001154	OG0001268	54	6.8398408935820585e-49	3.982688875833175e-44	TRUE
OG0000755	OG0000764	51	7.166742784954625e-49	4.156073091698225e-44	TRUE
OG0000222	OG0000585	39	7.330760205027594e-49	4.233977310576717e-44	TRUE
OG0000795	OG0000744	50	7.859077647092781e-49	4.520811143054449e-44	TRUE
