OG1	OG2	direction	pvalue	qvalue	signif
OG0000619	OG0000601	41	1.2962415735502279e-48	6.557714925958903e-44	TRUE
OG0000625	OG0000507	40	1.3587893753800375e-48	6.841096868225876e-44	TRUE
OG0000583	OG0000106	37	1.593246032777646e-48	7.983135342846542e-44	TRUE
OG0001108	OG0001182	56	1.794910819762561e-48	8.9356114186736685e-44	TRUE
OG0000692	OG0000706	46	1.800403287091569e-48	8.9356114186736685e-44	TRUE
OG0000730	OG0000664	45	1.872251237220414e-48	9.24837003414619e-44	TRUE
OG0001208	OG0001197	59	2.2146147610524407e-48	1.0888185704196763e-43	TRUE
OG0000368	OG0000569	36	2.5460419230599046e-48	1.2459158468066251e-43	TRUE
OG0000779	OG0000721	49	4.0156892931014225e-48	1.9493733702611297e-43	TRUE
OG0001363	OG0001353	36	4.0207942263041035e-48	1.9493733702611297e-43	TRUE
OG0001315	OG0001208	57	4.275920704138492e-48	2.063511252340194e-43	TRUE
OG0001025	OG0001034	85	4.879387018561754e-48	2.3439357628666947e-43	TRUE
OG0000796	OG0000735	47	5.3429039910911805e-48	2.554878125379419e-43	TRUE
OG0000587	OG0000703	39	7.268334596407625e-48	3.4441302769443267e-43	TRUE
OG0000605	OG0000532	39	7.268334596407625e-48	3.4441302769443267e-43	TRUE
OG0000980	OG0000967	41	7.860904023634967e-48	3.708142813270879e-43	TRUE
OG0000364	OG0000383	35	1.1081342429976212e-47	5.2038461095506074e-43	TRUE
OG0000608	OG0000576	40	1.3744816345796049e-47	6.425809636645228e-43	TRUE
OG0000931	OG0000652	45	1.7595680895338709e-47	8.155984267775128e-43	TRUE
OG0000494	OG0000929	39	1.760142729187496e-47	8.155984267775128e-43	TRUE
OG0000368	OG0000587	36	1.7752950297962475e-47	8.1899568299346e-43	TRUE
OG0000668	OG0000711	45	1.915682541938542e-47	8.798844183906925e-43	TRUE
OG0001250	OG0001263	34	2.002296473587196e-47	9.15650701990588e-43	TRUE
OG0000740	OG0000915	49	2.0874610846293182e-47	9.504460813647442e-43	TRUE
OG0001206	OG0000006	56	2.2358103662999046e-47	1.0135844008016047e-42	TRUE
OG0000543	OG0000337	38	2.7929594265977393e-47	1.2552945354588246e-42	TRUE
OG0000979	OG0000101	38	2.7929594265977393e-47	1.2552945354588246e-42	TRUE
OG0001234	OG0001238	29	3.109852450838974e-47	1.391748811932354e-42	TRUE
OG0000489	OG0000615	39	3.8535022692894557e-47	1.7172150629956836e-42	TRUE
OG0000482	OG0000679	41	4.527985928834026e-47	2.0092315920454826e-42	TRUE
OG0000403	OG0000374	34	4.594073216197705e-47	2.0299554125277814e-42	TRUE
OG0000394	OG0000387	35	4.695352119887369e-47	2.0659896546820845e-42	TRUE
OG0000884	OG0000873	53	5.254677433119303e-47	2.3024228829645845e-42	TRUE
OG0000654	OG0000754	47	5.523632923595517e-47	2.4101856723036167e-42	TRUE
OG0000656	OG0000644	41	6.060586700221146e-47	2.6335074932769735e-42	TRUE
OG0001206	OG0001292	59	6.15294672440106e-47	2.662592603989727e-42	TRUE
