OG1	OG2	direction	pvalue	qvalue	signif
OG0000542	OG0000541	38	2.3396744192164626e-51	1.4245047849263127e-46	true
OG0000821	OG0000826	56	2.4121526424992197e-51	1.4601437578680294e-46	true
OG0000560	OG0000742	54	2.676412505268604e-51	1.61079671286056e-46	true
OG0000807	OG0000819	54	3.05598770898541e-51	1.8287337795618286e-46	true
OG0000796	OG0000732	48	4.3136600727957106e-51	2.5666708799141755e-46	true
OG0000795	OG0000802	51	4.3919985216693873e-51	2.5985187294159115e-46	true
OG0001315	OG0001206	58	5.0212049454496505e-51	2.9540978607201765e-46	true
OG0001200	OG0001195	62	5.943671507960047e-51	3.477272297069442e-46	true
OG0000719	OG0000692	49	6.521751904489211e-51	3.7942740984525676e-46	true
OG0000931	OG0000725	46	1.0594203755036872e-50	6.129523000144035e-46	true
OG0000804	OG0000724	48	1.1266225191083142e-50	6.482521596519576e-46	true
OG0000553	OG0000474	39	1.3768627315569557e-50	7.836276550383258e-46	true
OG0000583	OG0000106	39	1.3768627315569557e-50	7.836276550383258e-46	true
OG0000545	OG0000642	42	1.533182719222989e-50	8.678788797763093e-46	true
OG0000656	OG0000644	43	1.5894513401405505e-50	8.90107710020733e-46	true
OG0000628	OG0000644	43	1.5894513401405505e-50	8.90107710020733e-46	true
OG0000896	OG0000552	47	1.8092850806096872e-50	1.0078272233148315e-45	true
OG0000494	OG0000442	40	1.876420568107645e-50	1.0396934623938225e-45	true
OG0000480	OG0000405	38	2.0042638347537267e-50	1.104684401472418e-45	true
OG0000557	OG0000628	42	2.0507220106807648e-50	1.1243728703100968e-45	true
OG0000654	OG0000754	51	2.263330397268124e-50	1.2344788680386311e-45	true
OG0000831	OG0000115	41	3.0049261134614226e-50	1.6137494937007174e-45	true
OG0000644	OG0000532	41	3.0049261134614226e-50	1.6137494937007174e-45	true
OG0000645	OG0000532	41	3.0049261134614226e-50	1.6137494937007174e-45	true
OG0000381	OG0000340	35	3.0483363163338484e-50	1.628709918971415e-45	true
OG0000730	OG0000664	47	3.211536915994354e-50	1.7071969449132026e-45	true
OG0001208	OG0001195	61	3.3416186241243356e-50	1.767374664480196e-45	true
OG0001017	OG0001027	81	5.063091312038214e-50	2.66440117204699e-45	true
OG0000725	OG0000652	46	7.036391618676546e-50	3.684316571785284e-45	true
OG0000364	OG0000383	37	8.266498190167207e-50	4.306876813488182e-45	true
OG0001201	OG0001316	55	1.0830437870816144e-49	5.614764927735244e-45	true
OG0001250	OG0001263	36	1.3530819209881175e-49	6.94593726421846e-45	true
OG0001101	OG0001076	51	1.3468649569015466e-49	6.94593726421846e-45	true
OG0000619	OG0000726	46	1.3724185684296053e-49	7.01083355817701e-45	true
OG0000378	OG0000611	42	1.4212895359938521e-49	7.22523988732328e-45	true
OG0000721	OG0000819	50	1.5726959300331713e-49	7.956303658836259e-45	true
OG0000628	OG0000605	42	1.6211201170022369e-49	8.161853453071162e-45	true
