genome	Clade1	original_Subclade	harmonized_Subclade	original_Family	harmonized_Family	original_Genus	harmonized_Genus	original_Species	harmonized_Species	subclade_changed	family_changed	genus_changed	species_changed
AG-337-C09	I	Ib.2.a	Ib.2.I	Pelagibacteraceae	Pelagibacteraceae	Stellipelagibacter	Stellipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-404-P13	I	Ib.2.a	Ib.2.I	Pelagibacteraceae	Pelagibacteraceae	Stellipelagibacter	Stellipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-907-F09	I	Ib.2.a	Ib.2.I	Pelagibacteraceae	Pelagibacteraceae	Stellipelagibacter	Stellipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-337-G04	I	Ib.2.a	Ib.2.I	Pelagibacteraceae	Pelagibacteraceae	Stellipelagibacter	Stellipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-461-L09	I	Ib.2.a	Ib.2.I	Pelagibacteraceae	Pelagibacteraceae	Stellipelagibacter	Stellipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-894-L17	I	Ib.2.a	Ib.2.I	Pelagibacteraceae	Pelagibacteraceae	Stellipelagibacter	Stellipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-414-O09	I	Ib.2.a	Ib.2.I	Pelagibacteraceae	Pelagibacteraceae	Stellipelagibacter	Stellipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-893-L07	I	Ib.2.a	Ib.2.I	Pelagibacteraceae	Pelagibacteraceae	Stellipelagibacter	Stellipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-904-K03	I	Ib.2.a	Ib.2.I	Pelagibacteraceae	Pelagibacteraceae	Stellipelagibacter	Stellipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-908-F18	I	Ib.2.a	Ib.2.I	Pelagibacteraceae	Pelagibacteraceae	Stellipelagibacter	Stellipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
