genome_type	family	genus	subclade	annotation_combination	length_bin_start	length_bin_end	n_proteins
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	125	150	4
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	150	175	4
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	175	200	4
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	200	225	7
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	225	250	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	250	275	6
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	275	300	2
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	300	325	5
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	325	350	5
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	350	375	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	375	400	5
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	450	475	3
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	475	500	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	500	525	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	550	575	1
Isolate	Fontibacteriaceae	NA	IIIa.3	COG only	750	775	1
Isolate	Fontibacteriaceae	NA	IIIa.3	KO + Pfam	50	75	2
Isolate	Fontibacteriaceae	NA	IIIa.3	KO + Pfam	75	100	1
Isolate	Fontibacteriaceae	NA	IIIa.3	KO + Pfam	125	150	1
Isolate	Fontibacteriaceae	NA	IIIa.3	KO + Pfam	150	175	4
Isolate	Fontibacteriaceae	NA	IIIa.3	KO + Pfam	175	200	1
Isolate	Fontibacteriaceae	NA	IIIa.3	KO + Pfam	200	225	1
Isolate	Fontibacteriaceae	NA	IIIa.3	KO + Pfam	225	250	2
Isolate	Fontibacteriaceae	NA	IIIa.3	KO + Pfam	300	325	2
Isolate	Fontibacteriaceae	NA	IIIa.3	KO + Pfam	350	375	1
Isolate	Fontibacteriaceae	NA	IIIa.3	KO + Pfam	375	400	2
Isolate	Fontibacteriaceae	NA	IIIa.3	KO + Pfam	400	425	1
Isolate	Fontibacteriaceae	NA	IIIa.3	KO + Pfam	425	450	2
Isolate	Fontibacteriaceae	NA	IIIa.3	KO only	50	75	1
Isolate	Fontibacteriaceae	NA	IIIa.3	KO only	150	175	1
Isolate	Fontibacteriaceae	NA	IIIa.3	KO only	375	400	1
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	25	50	23
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	50	75	45
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	75	100	27
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	100	125	29
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	125	150	22
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	150	175	10
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	175	200	14
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	200	225	10
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	225	250	11
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	250	275	3
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	275	300	5
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	300	325	3
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	325	350	1
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	350	375	6
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	375	400	2
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	400	425	6
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	425	450	1
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	525	550	1
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	575	600	2
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	600	625	1
Isolate	Fontibacteriaceae	NA	IIIa.3	No annotation	750	775	1
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	25	50	2
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	50	75	10
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	75	100	4
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	100	125	7
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	125	150	17
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	150	175	8
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	175	200	4
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	200	225	7
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	225	250	5
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	275	300	3
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	300	325	4
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	350	375	2
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	375	400	3
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	475	500	1
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	525	550	1
Isolate	Fontibacteriaceae	NA	IIIa.3	Pfam only	600	625	1
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO	50	75	12
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO	150	175	4
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO	200	225	6
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO	250	275	1
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO	275	300	5
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO	325	350	1
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO	350	375	5
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO	375	400	5
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO	400	425	6
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO	750	775	1
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO	775	800	5
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO + Pfam	25	50	11
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO + Pfam	50	75	59
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO + Pfam	75	100	142
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO + Pfam	100	125	211
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO + Pfam	125	150	270
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO + Pfam	150	175	298
Isolate	Fontibacteriaceae	Elongatipelagibacter	IIIa.1	COG + KO + Pfam	175	200	270
