869	1829	2
869	1873	2
869	1896	2
869	1908	5
869	2019	1
869	2219	1
870	1873	1
881	1047	1
881	1048	3
883	995	3
883	1140	1
883	1659	1
892	1841	1
892	2018	1
892	2020	1
892	2022	1
900	1409	1
905	1303	1
905	1576	1
905	1593	2
905	1727	1
905	1926	1
920	940	1
920	1010	1
920	1174	1
920	1303	3
920	1544	1
920	1587	2
920	1693	1
920	1832	1
920	2070	1
940	1174	2
946	1103	1
946	1257	1
946	1371	1
946	1389	1
946	1696	3
946	1769	1
946	1771	1
946	1796	1
946	1927	2
946	2078	1
954	1515	1
954	1690	1
954	1706	1
954	1848	1
959	1090	3
959	2014	3
959	2135	3
959	2207	1
959	2215	1
961	1174	1
961	1625	3
961	1801	3
961	1932	4
961	2035	1
961	2109	2
963	1430	2
995	1140	1
995	1659	1
1009	1873	1
1009	1896	7
1010	1303	1
1010	1403	3
1010	1544	1
1010	1693	1
1010	2065	1
1011	1576	1
1011	1696	1
1011	1769	1
1011	1796	1
1011	1798	1
1011	1829	1
1011	1843	1
1011	1873	2
1011	1896	4
1011	1979	1
1011	2109	1
1011	2233	1
1019	1206	2
1027	1434	1
1027	2081	2
1027	2085	2
1036	1219	3
1036	1403	4
1036	1690	1
1036	1841	1
1036	2065	3
1047	1048	1
1047	1626	1
1047	2153	2
1066	1071	1
1066	1222	1
1066	1754	1
1066	1817	1
1066	1908	3
1066	2019	1
1066	2022	1
1066	2024	3
1066	2025	5
1066	2030	3
1066	2211	3
1066	2219	1
1066	2221	1
1066	2223	6
1071	1106	1
1071	1829	1
1071	2022	2
1071	2025	1
1071	2058	1
1071	2223	1
1071	2233	1
1084	1222	1
1084	1335	2
1084	1690	1
1084	2224	1
1090	2014	5
1090	2135	5
1090	2207	2
1090	2215	3
1090	2221	1
1096	1140	2
1096	1512	4
1096	1765	2
1103	1371	7
1103	1389	4
1103	1696	1
1103	1769	3
1103	1771	7
1103	1787	2
1103	1796	1
1103	1829	2
1103	1873	2
1103	1896	3
1103	1908	2
1103	2078	1
1106	1829	1
1106	2022	1
1106	2058	1
1106	2120	1
1106	2128	2
1106	2158	1
1106	2224	1
1106	2233	2
1107	1335	1
1107	1908	1
1107	2019	1
1107	2128	1
1107	2219	2
1111	1125	1
1111	1157	1
1111	1978	1
1111	2018	1
1113	2118	2
1113	2213	3
1119	1201	1
1119	1213	1
1119	1314	1
1119	1872	2
1119	1969	1
1125	1311	1
1125	1978	1
1128	2007	1
1140	1213	2
1140	1229	1
1140	1512	6
1140	1706	1
1140	1765	1
1140	1872	2
1140	1975	1
1140	1985	2
1143	1157	1
1143	1303	4
1143	1553	2
1143	1798	2
1143	1803	1
1143	1829	1
1143	1833	2
1143	1843	1
1143	1892	1
1143	2029	1
1143	2158	1
1143	2207	1
1143	2213	1
1143	2224	2
1143	2233	2
1149	1277	1
1149	1305	4
1149	1626	2
1149	1630	1
1151	1201	3
1151	1203	2
1151	1287	3
1151	1626	12
1151	1642	1
1151	1798	1
1157	1833	1
1157	2018	2
1157	2022	1
1157	2025	1
1157	2029	1
1174	1201	1
1174	1237	1
1174	1625	1
1174	1798	1
1174	1801	1
1174	1926	1
1174	1932	1
1174	2109	2
1201	1203	7
1201	1237	2
1201	1626	3
1201	1642	1
1201	1798	3
1201	1843	1
1201	1926	1
1201	2109	2
1203	1626	2
1203	1642	1
1213	1512	2
1213	1872	4
1222	1558	1
1222	1690	2
1222	1754	2
1222	1908	2
1222	2211	1
1222	2223	1
1229	1512	1
1229	1975	3
1237	1626	1
1237	1798	2
1237	1926	1
1237	2109	2
1237	2233	1
1248	1764	3
1257	1696	2
1257	1769	1
1257	1927	1
1261	1462	1
1261	1873	4
1277	1626	3
1287	1626	3
1298	1383	1
1298	1817	1
1298	1829	1
1298	1873	1
1303	1317	3
1303	1483	1
1303	1544	1
1303	1587	7
1303	1693	1
1303	1727	7
1303	1761	1
1303	1798	1
1303	1832	6
1303	1843	1
1303	1926	1
1303	1985	3
1303	2070	6
1303	2195	1
1303	2230	1
1305	1626	1
1305	1630	1
1311	1576	1
1311	1979	1
1314	1872	1
1314	1969	1
1317	1727	1
1317	1832	3
1317	1985	1
1317	2230	1
1335	1908	1
1335	2019	1
1335	2219	1
1335	2224	1
1355	1660	2
1355	1795	1
1355	2107	2
1357	1462	1
1357	1924	1
1357	1979	1
1369	1803	4
1369	1892	1
1371	1389	4
1371	1696	1
1371	1769	3
1371	1771	7
1371	1787	2
1371	1796	1
1371	1829	2
1371	1873	2
1371	1896	3
1371	1908	2
1371	2078	1
1383	1817	1
1383	1829	1
1383	1873	1
1389	1696	1
1389	1769	2
1389	1771	4
1389	1787	2
1389	1796	1
1389	2078	1
1403	1841	1
1403	2065	3
1426	1745	3
1426	2090	2
1426	2233	1
1430	1483	1
1430	1586	1
1434	1690	1
1434	1720	2
1434	2195	1
1462	1873	3
1462	1924	1
1462	1979	1
1483	1493	1
1483	1512	1
1483	1761	1
1483	1848	1
1493	1512	2
1493	1667	3
1493	1691	1
1493	1761	1
1493	1777	1
1493	1848	1
1493	1866	1
1493	1985	1
1493	2253	1
1512	1761	1
1512	1765	2
1512	1848	1
1512	1872	2
1512	1975	1
