id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Documents>	score<Avg. pub. year>
2007	"walsh, da"	0.6626	0.0805	4	1	1	3	2018
2012	"wang, c"	-0.5122	0.272	5	3	3	3	2017.3333
2014	"wang, dz"	-0.9893	0.835	5	8	25	5	2020.2
2018	"wang, h"	-0.5701	0.2325	5	14	18	7	2021.1429
2019	"wang, j"	-0.7328	0.2782	2	15	17	3	2023
2020	"wang, k"	-0.3548	0.3111	5	4	4	3	2016.3333
2022	"wang, m"	-0.6076	0.3004	5	22	27	7	2021.2857
2024	"wang, n"	-1.0161	0.239	2	12	23	3	2021.3333
2025	"wang, p"	-0.9191	0.2333	2	17	38	6	2021.3333
2029	"wang, x"	-0.4959	0.1531	5	3	3	3	2015
2030	"wang, xj"	-1.0239	0.3185	2	14	24	3	2021
2031	"wang, y"	-0.4546	0.2795	5	4	4	3	2020
2035	"wang, z"	-0.465	0.0665	5	12	13	4	2019.75
2058	"wei, t"	-0.4652	0.4903	2	9	12	3	2020
2065	"west, nj"	0.4154	0.3638	4	11	22	6	2015.3333
2070	"whitman, wb"	0.493	-0.3226	8	5	15	6	2010.3333
2075	"wietz, m"	-0.4815	1.2035	15	5	7	3	2018.3333
2078	"wilhelm, lj"	-0.3533	-0.8759	11	15	24	5	2007.2
2081	"wilkins, d"	-0.0524	0.5726	7	7	15	3	2012.6667
2085	"williams, tj"	0.0276	0.6272	7	7	14	4	2011.75
2090	"wiltshire, kh"	1.1796	0.3601	10	5	12	3	2023.6667
2107	"worden, az"	-0.4272	-0.4663	7	6	8	3	2019.6667
2109	"woyke, t"	0.0735	-0.1242	1	20	32	6	2016.3333
2118	"wu, ql"	-0.7647	0.5657	2	3	5	3	2017.6667
2120	"wu, y"	-0.4692	0.7629	2	7	15	3	2023.3333
2128	"xia, x"	-0.7093	0.5303	2	3	4	4	2020
2135	"xie, zx"	-1.0366	0.7963	5	8	25	5	2020.2
2153	"yang, ej"	0.5574	-0.7288	14	3	4	3	2018.6667
2158	"yang, m"	-0.5429	0.7592	2	15	32	6	2021.6667
