genome	Subclade	Family	Genus	Species	Subclade_assignment_source	Family_assignment_source	Genus_assignment_source	Species_assignment_source
AG-899-N21	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-914-P23	NA	NA	NA	NA	NA	NA	NA	NA
AG-917-M22	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-414-O11	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-913-C03	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-917-C08	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-917-C11	NA	NA	NA	NA	NA	NA	NA	NA
AG-917-P07	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-913-A04	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-918-L07	Ia.3.VII	Pelagibacteraceae	Angustipelagibacter	atlanticus	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome	Freel et al. 2025 used genome
AG-911-G03	NA	NA	NA	NA	NA	NA	NA	NA
