genome	Clade1	original_Subclade	harmonized_Subclade	original_Family	harmonized_Family	original_Genus	harmonized_Genus	original_Species	harmonized_Species	subclade_changed	family_changed	genus_changed	species_changed
AG-913-I06	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-914-J05	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-918-M15	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-919-M05	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-912-P19	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-916-E17	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-914-N11	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AH-321-I23	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-422-K17	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-913-I14	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-903-M21	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AH-287-E19	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-917-E14	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-919-I13	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-899-E14	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-914-I16	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-325-E13	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-390-C22	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-390-M15	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
SAG-MED05	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
AG-461-E04	II	IIa.B	II	Cosmipelagibacteraceae	Cosmipelagibacteraceae	Cosmipelagibacter	Cosmipelagibacter	NA	NA	TRUE	FALSE	FALSE	FALSE
