genome	Clade1	type	rank	prior_value	Family	Genus	Subclade	Species	validation_reasons	eligible_in_any_tree	gap_category
AG-426-M05	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-M19	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-426-P08	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-A11	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-B09	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-G11	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-I18	I	SAG	Species	NA	Pelagibacteraceae	Rubripelagibacter	Ib.N11	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-J04	I	SAG	Species	NA	Pelagibacteraceae	Amplipelagibacter	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-J21	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-430-K07	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-B12	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-C18	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-E23	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-G19	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-439-O15	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-B22	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-C08	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-E19	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-F10	I	SAG	Species	NA	Pelagibacteraceae	Tantillipelagibacter	Ia.4.N5	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-K09	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-K11	I	SAG	Species	NA	Pelagibacteraceae	Undatipelagibacter	Ia.3.VI	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-L03	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-L10	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-L14	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-M05	I	SAG	Species	NA	Pelagibacteraceae	Atlantikopelagibacter	Ia.3.I	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-M10	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-N08	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-N18	I	SAG	Species	NA	Pelagibacteraceae	Lacunipelagibacter	Ia.4.II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-N21	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-O23	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-P03	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-447-P22	I	SAG	Species	NA	Pelagibacteraceae	Tantillipelagibacter	Ia.4.N5	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-453-K22	I	SAG	Species	NA	Pelagibacteraceae	Amplipelagibacter	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-457-B14	I	SAG	Species	NA	Pelagibacteraceae	Angustipelagibacter	Ia.3.VII	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-461-L09	I	SAG	Species	NA	Pelagibacteraceae	Stellipelagibacter	Ib.2.I	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-461-M18	I	SAG	Species	NA	Pelagibacteraceae	Medipelagibacter	Ib.4.N8	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-464-P13	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-470-D02	I	SAG	Species	NA	Pelagibacteraceae	Angustipelagibacter	Ia.3.VII	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-891-A05	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-891-C15	I	SAG	Species	NA	Pelagibacteraceae	Lacunipelagibacter	Ia.4.II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-891-G02	I	SAG	Species	NA	Pelagibacteraceae	Undatipelagibacter	Ia.3.VI	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-891-I18	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-891-J07	I	SAG	Species	NA	Pelagibacteraceae	Angustipelagibacter	Ia.3.VII	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-891-N03	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-A22	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-B11	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-C18	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-F02	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-J03	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-K05	I	SAG	Species	NA	Pelagibacteraceae	Proventipelagibacter	Ia.4.N3	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-K09	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-L05	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-892-L17	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-893-I20	I	SAG	Species	NA	Pelagibacteraceae	Tantillipelagibacter	Ia.4.N5	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-893-J08	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-893-L07	I	SAG	Species	NA	Pelagibacteraceae	Stellipelagibacter	Ib.2.I	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-893-M22	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-893-N07	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-893-P02	I	SAG	Species	NA	Pelagibacteraceae	Fusipelagibacter	Ib.N10	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-893-P10	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-894-A03	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-894-B06	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-894-B07	I	SAG	Species	NA	Pelagibacteraceae	Lacunipelagibacter	Ia.4.II	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-894-E10	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-894-K14	I	SAG	Species	NA	Pelagibacteraceae	Tantillipelagibacter	Ia.4.N5	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-894-K15	I	SAG	Species	NA	Pelagibacteraceae	Proventipelagibacter	Ia.4.N3	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-894-L13	I	SAG	Species	NA	Pelagibacteraceae	Proventipelagibacter	Ia.4.N3	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-894-L17	I	SAG	Species	NA	Pelagibacteraceae	Stellipelagibacter	Ib.2.I	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-894-L19	I	SAG	Species	NA	Pelagibacteraceae	Copipelagibacter	Ib.1.III	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-894-O09	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-894-P23	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-895-F17	I	SAG	Species	NA	Pelagibacteraceae	Xanthinipelagibacter	Ia.3.V	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-895-G15	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-895-J19	I	SAG	Species	NA	Pelagibacteraceae	Proventipelagibacter	Ia.4.N3	NA	NA	NA	no_prior_label_and_no_supported_assignment
AG-896-C18	I	SAG	Species	NA	Pelagibacteraceae	NA	NA	NA	NA	NA	no_prior_label_and_no_supported_assignment
