genome	freel_family	freel_genus	freel_species	species_full_name	species_type_genome	species_reference_genome	species_assignment_source	species_tree_node	species_tree_ufboot
AG-916-A21	Pelagibacteraceae	Extensipelagibacter	unicus	Extensipelagibacter unicus	AG-426-E17	AG-426-E17	Freel et al. 2025 genome	NA	NA
AG-916-G19	Pelagibacteraceae	Pantolocipelagibacter	undulae	Pantolocipelagibacter undulae	AG-916-G19	AG-916-G19	Freel et al. 2025 Type Strains	NA	NA
AG-916-M15	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-917-C08	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-917-F16	Pelagibacteraceae	Fusipelagibacter	tranquillus	Fusipelagibacter tranquillus	AG-905-M05	AG-905-M05	Freel et al. 2025 genome	NA	NA
AG-917-I17	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-917-M22	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-917-P07	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-918-K09	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-918-L07	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-918-L21	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
AG-920-J04	Pelagibacteraceae	Angustipelagibacter	atlanticus	Angustipelagibacter atlanticus	AG-430-E20	AG-430-E20	Freel et al. 2025 genome	NA	NA
ETNP2013_S02_SV82_300m_MAG_01	Cosmipelagibacteraceae	Anoxypelagibacter	denitrificans	Anoxypelagibacter denitrificans	ETNP2013_S02_SV82_300m_MAG_01	ETNP2013_S02_SV82_300m_MAG_01	Freel et al. 2025 Type Strains	NA	NA
GOM-A1	Pelagibacteraceae	Copipelagibacter	splendidus	Copipelagibacter splendidus	AG-892-F15	AG-892-F15	Freel et al. 2025 genome	NA	NA
HIMB058	Cosmipelagibacteraceae	Cosmipelagibacter	regressus	Cosmipelagibacter regressus	HIMB058	HIMB058	Freel et al. 2025 Type Strains	NA	NA
HIMB083	Pelagibacteraceae	Xanthinipelagibacter	aumoanae	Xanthinipelagibacter aumoanae	HIMB083	HIMB083	Freel et al. 2025 Type Strains	NA	NA
HIMB109	Fontibacteriaceae	Elongatipelagibacter	longiformis	Elongatipelagibacter longiformis	HIMB114	HIMB114	Freel et al. 2025 genome	NA	NA
HIMB114	Fontibacteriaceae	Elongatipelagibacter	longiformis	Elongatipelagibacter longiformis	HIMB114	HIMB114	Freel et al. 2025 Type Strains	NA	NA
HIMB122	Pelagibacteraceae	Undatipelagibacter	huakaii	Undatipelagibacter huakaii	HIMB1556	HIMB1556	Freel et al. 2025 genome	NA	NA
HIMB1321	Pelagibacteraceae	Litoralipelagibacter	koolauensis	Litoralipelagibacter koolauensis	HIMB4	HIMB4	Freel et al. 2025 genome	NA	NA
HIMB140	Pelagibacteraceae	Undatipelagibacter	huakaii	Undatipelagibacter huakaii	HIMB1556	HIMB1556	Freel et al. 2025 genome	NA	NA
HIMB1412	Pelagibacteraceae	Coralipelagibacter	kukahii	Coralipelagibacter kukahii	HIMB1412	HIMB1412	Freel et al. 2025 Type Strains	NA	NA
HIMB1430	Pelagibacteraceae	Undatipelagibacter	huakaii	Undatipelagibacter huakaii	HIMB1556	HIMB1556	Freel et al. 2025 genome	NA	NA
HIMB1436	Pelagibacteraceae	Tantillipelagibacter	marisrubii	Tantillipelagibacter marisrubii	HIMB1436	HIMB1436	Freel et al. 2025 Type Strains	NA	NA
HIMB1437	Pelagibacteraceae	Lacunipelagibacter	aumakalihii	Lacunipelagibacter aumakalihii	HIMB1437	HIMB1437	Freel et al. 2025 Type Strains	NA	NA
HIMB1483	Pelagibacteraceae	Alipelagibacter	loemeaikii	Alipelagibacter loemeaikii	HIMB1483	HIMB1483	Freel et al. 2025 Type Strains	NA	NA
