OG_ID	ko_best	ko_best_definition	ko_support	n_genes	ko_rate
OG0001658	K03694	ATP-dependent Clp protease ATP-binding subunit ClpA	22	52	0.4230769230769231
OG0001658	K03695	ATP-dependent Clp protease ATP-binding subunit ClpB	8	52	0.15384615384615385
OG0001659	K09459	phosphonopyruvate decarboxylase [EC:4.1.1.82]	49	51	0.9607843137254902
OG0001662	K23997	ADP-dependent NAD(P)H-hydrate dehydratase / NAD(P)H-hydrate epimerase [EC:4.2.1.136 5.1.99.6]	30	50	0.6
OG0001665	K01153	type I restriction enzyme, R subunit [EC:3.1.21.3]	28	50	0.56
OG0001665	K07448	restriction system protein	1	50	0.02
OG0001669	K02234	cobalamin biosynthesis protein CobW	43	50	0.86
OG0001670	K22479	N-acetyltransferase	1	50	0.02
OG0001674	K05780	alpha-D-ribose 1-methylphosphonate 5-triphosphate synthase subunit PhnL [EC:2.7.8.37]	48	49	0.9795918367346939
OG0001675	K00573	protein-L-isoaspartate(D-aspartate) O-methyltransferase [EC:2.1.1.77]	1	48	0.020833333333333332
OG0001691	K07046	L-fucono-1,5-lactonase [EC:3.1.1.120]	46	47	0.9787234042553191
OG0001697	K07336	PKHD-type hydroxylase [EC:1.14.11.-]	2	46	0.043478260869565216
OG0001700	K03189	urease accessory protein	46	46	1
OG0001701	K03188	urease accessory protein	46	46	1
OG0001702	K03187	urease accessory protein	46	46	1
OG0001703	K19802	L-Ala-D/L-Glu epimerase / N-acetyl-D-glutamate racemase [EC:5.1.1.20 5.1.1.-]	15	46	0.32608695652173914
OG0001704	K01966	propionyl-CoA carboxylase beta chain [EC:6.4.1.3 2.1.3.15]	24	46	0.5217391304347826
OG0001704	K13778	geranyl-CoA carboxylase beta subunit [EC:6.4.1.5]	21	46	0.45652173913043476
OG0001713	K01428	urease subunit alpha [EC:3.5.1.5]	44	45	0.9777777777777777
OG0001715	K03601	exodeoxyribonuclease VII large subunit [EC:3.1.11.6]	44	45	0.9777777777777777
OG0001716	K03926	periplasmic divalent cation tolerance protein	44	45	0.9777777777777777
OG0001718	K09788	2-methylaconitate isomerase [EC:5.3.3.-]	16	45	0.35555555555555557
OG0001718	K16514	4-oxalomesaconate tautomerase [EC:5.3.2.8]	20	45	0.4444444444444444
OG0001724	K01429	urease subunit beta [EC:3.5.1.5]	41	44	0.9318181818181818
OG0001725	K01430	urease subunit gamma [EC:3.5.1.5]	43	44	0.9772727272727273
OG0001726	K03190	urease accessory protein	42	44	0.9545454545454546
OG0001727	K06178	23S rRNA pseudouridine2605 synthase [EC:5.4.99.22]	15	44	0.3409090909090909
OG0001731	K01243	adenosylhomocysteine nucleosidase [EC:3.2.2.9]	15	44	0.3409090909090909
OG0001733	K10094	nickel transport protein	8	44	0.18181818181818182
OG0001734	K13010	perosamine synthetase [EC:2.6.1.102]	2	43	0.046511627906976744
OG0001735	K01790	dTDP-4-dehydrorhamnose 3,5-epimerase [EC:5.1.3.13]	8	43	0.18604651162790697
OG0001738	K06320	spore maturation protein CgeB	33	43	0.7674418604651163
